Name,Foster Type,Location,Link,Image,Children,Dogs,Cats,Home Alone,Activity,Breed,Gender,Age,Weight
Bella,"
                                                        Advanced Foster
                                                    ",Foster Home,/pet-available-for-fostering/showdog/bella,https://d3opzdukpbxlns.cloudfront.net/11c52399-becb-46a2-b6cf-c14666c3f432/2b4847d30745404f82d126d88eceb9e6.thumbnail?response-content-disposition=inline%3B%20filename%2A%3DUTF-8%27%271631563041000.jpg&response-content-type=image%2Fjpeg&Expires=1640736000&Signature=ArawabvqbPJXLyWlGgUIbo6gkTIpQAwoJZxLiNCeUn8dmb1J~4iV-0pBsu-uph0FOXhLPwe7IV4rV~r-aDoTUYOqTyJEjAPq0CuJQzFcAfi5HnRNiS9zyikhonWer~qKm0R3155I-y~mNpjPCoN8hkXqCeDQmFV2m7KjFjAHiPHiivAyaQ6wAP4ej5mI0lcZOyB18ucW6QwnAmCirR630NxPYvM11drlGBtVWy5bL1fXvwjBAZNKGxE1YTaBOXKJyCQpIz9lVM8~CrjauwwYM~ir17bJqM2QY3QN1yOYA1bY1l7Pncv2MK6sGJkKXrkZ5dLlH7QvoG7IZRy7NgNI0Q__&Key-Pair-Id=APKAI33AGAEAYCXFBDTA,1.0,1.0,1.0,4.0,4.0,"Terrier, American Staffordshire, Mix",Female,3 Years,46.25lbs
Tolouse,"
                                                        Advanced Foster
                                                    ",Lincoln Park Adoption Center,/pet-available-for-fostering/showdog/tolouse,https://d3opzdukpbxlns.cloudfront.net/11c52399-becb-46a2-b6cf-c14666c3f432/6ed89e4ecbb44592bbbc20363580ffe3.thumbnail?response-content-disposition=inline%3B%20filename%2A%3DUTF-8%27%271620929033000.jpg&response-content-type=image%2Fjpeg&Expires=1640736000&Signature=WFVL28nlTO98-HG3z3LjfF5XVcenmMniPWqjPsav3n5U3wWBOpc5yUEJVa4rv1BNE29kVJdY4krbUgDBWb1-GqIClbzga5y3Tm2x58TVjPx4oFQk1FZk37U4uYnXbsJxjtfLiXU-ftIUTaP3V5W-I2MGe8vIafdhVs2SRP2-sIZaYBCfXnpXfw65rYSYwYSLZqBZ4xe3T8lh6wh52tcZjDv~FE-8EgBSyBX5ycQMETD-vMTuLRwdJnNGdPuXP0pwjUN8YgUxE0SQGpVSnjlheYku~3sDL2dO~SufPiF5yrEXh9q3LDE-IQ4BJUBmUaFG7WdVF2GM8kso28Q7fRJELg__&Key-Pair-Id=APKAI33AGAEAYCXFBDTA,1.0,1.0,3.0,3.0,3.0,Shepherd Mix,Female,5 Years,41.2lbs
Sandy,"
                                                        Advanced Foster
                                                    ",Lincoln Park Adoption Center,/pet-available-for-fostering/showdog/sandy-1,https://d3opzdukpbxlns.cloudfront.net/11c52399-becb-46a2-b6cf-c14666c3f432/10d248aa64144b86899c6875f291aa78.thumbnail?response-content-disposition=inline%3B%20filename%2A%3DUTF-8%27%271623164644000.jpg&response-content-type=image%2Fjpeg&Expires=1640736000&Signature=N34EWbM1HM7IBGef1g3fnqydRKI5qt50FN~bQLun05itJBva6H2d1vvnYvJyZBRrjUqQ7tit9F9at03~mSFA4Q9Zc5r-iSyJ5bzhuV9Jc7wo~N00AMpGUNd2wrIu5bOjp~lfb5wRHrHYsa8LPdW3RXq9fqYMgKmih-Qkgx5nHAIUqlNMDj8Frfm1hrgcj0f49~NUg~hA1-LvKSUU1i35U42bh9MFyvFr~pF55zFLGBF9~onHLYdiZ454TMK3Rv8ToD1SJANpVTva-ef48dXbP8fQEIH6uT7N3~Uwd6NZ7gSJSdV9jKjmhSLehpK2oEXM3YDfhWUqcKMOYpYOdSFK7g__&Key-Pair-Id=APKAI33AGAEAYCXFBDTA,1.0,3.0,1.0,2.0,4.0,Mixed Breed,Female,2 Years,48lbs
Tobias,"
                                                        Advanced Foster
                                                    ",Foster Home,/pet-available-for-fostering/showdog/tobias,https://d3opzdukpbxlns.cloudfront.net/11c52399-becb-46a2-b6cf-c14666c3f432/549b8f5a783347af8dad95c9bde0ecf1.thumbnail?response-content-disposition=inline%3B%20filename%2A%3DUTF-8%27%271637359866000.jpg&response-content-type=image%2Fjpeg&Expires=1640736000&Signature=b6cG86OCTEgqcA6J-1weDwjZAI45ZkCxyz1ckzVd6USK4zrgkNUVkC9vawSXGhtaDNpoKzzB3W1ZIK8VxkHQvXEaRiMoJziVAjHst7gxlceJWzQ~1sobE81q--C0Cb4qB9dRABdwotguye76pnrcBZVc8PPJPvUX4sqkrTLgnBxYBz4fNnsRcIt095nH9FFiV1pzU4D3mq5Y7zldpPtfPHO0f7aZf0VpqedmchU-BEEULhCBY5SLxhAqZuna0MYRyktqq1t4OKVv2-NbFjJw-~mDrXAZ3ogEps3Mr0Xz~jWKCACl-Ka1bRiGyhaMKdlPIA4eWIrSwqmiv3kzqfOYUw__&Key-Pair-Id=APKAI33AGAEAYCXFBDTA,1.0,1.0,1.0,3.0,4.0,"Shepherd, Australian, Catahoula Leopard Dog",Male,1 Year,68.13lbs
Hinley,"
                                                        Advanced Foster
                                                    ",Lincoln Park Adoption Center,/pet-available-for-fostering/showdog/hinley,https://d3opzdukpbxlns.cloudfront.net/11c52399-becb-46a2-b6cf-c14666c3f432/06c3ae62e368418e9f26b1547c27e3d6.thumbnail?response-content-disposition=inline%3B%20filename%2A%3DUTF-8%27%271633388777000.jpg&response-content-type=image%2Fjpeg&Expires=1640736000&Signature=X16TY2htMQj9KPhhayYzMqTsRn7mBf0RIFV~jLnyk-SIEGaVZlfL9-32N-kks1UrYAr5skweaUlqzg5DZ~yomh-YLMxSAOgaPRuK67t7FZ8nvm2ozuFJT9E4IfvMkhYILCkcgC-4JO2iB5nNdTSDQT9zt3v4vnWkiyvKIEh5ACZTd9C~xkkY747rWl8qt~7tkltP5WetbnlPTKTkPYAT6VpexA7INEDcVNjfPXQgqK1qdr5TMfMkBA0YA-ElkRWxMNOAqxrQN5n5qMh8AmEpxxOgC8d7K0lsGj0vENUFIrFjAHSp0fbDRHPL2VIvGECb9x0CpdQ9oWOj3n7ZtBaQig__&Key-Pair-Id=APKAI33AGAEAYCXFBDTA,1.0,1.0,1.0,3.0,4.0,"Boxer, Shepherd",Male,4 Years,87.25lbs
Cobbler,"
                                                        Advanced Foster
                                                    ",Lincoln Park Adoption Center,/pet-available-for-fostering/showdog/cobbler,https://d3opzdukpbxlns.cloudfront.net/11c52399-becb-46a2-b6cf-c14666c3f432/7a75c365cf4842e09280be68c82863a3.thumbnail?response-content-disposition=inline%3B%20filename%2A%3DUTF-8%27%271634152968000.jpg&response-content-type=image%2Fjpeg&Expires=1640736000&Signature=QTKh1H5lwRez3epCsOI0qCIJdrRq9V2IVebfk2EjaGPLnckc-WaGstWoT~cR4ubYUXSo~dE-Eo0OKn9nwsRc56FSyJwpXtvu41pTmS-w2IcGJVTvIW5BqqAmVFOnrgA0t856LMuDOQpB0g6kLP7GI3eD03oCLgdljTq~sp2YfAEpE441C8bfqbVfoH2WUucO6qvM7~jHDFq3iVMFZDuFuUI1pV3dgsgin5tuvNmgV2FDdyAJMsG7yyfGpzUS1QnI8KnwREW~w9hvs~nlZAM5CCKf8LCcFhQXvJbi8ILn0-bGud3fY-GrM2anmIgUqr700aY6tkggVdxRPBvM9W8qAw__&Key-Pair-Id=APKAI33AGAEAYCXFBDTA,1.0,1.0,1.0,3.0,4.0,"Hound, Mix",Male,1 Year,42.6lbs
Finch,"
                                                        Advanced Foster
                                                    ",Lincoln Park Adoption Center,/pet-available-for-fostering/showdog/finch,https://d3opzdukpbxlns.cloudfront.net/11c52399-becb-46a2-b6cf-c14666c3f432/91d0375158aa4e1da91a0ab0558460f4.thumbnail?response-content-disposition=inline%3B%20filename%2A%3DUTF-8%27%271628271141000.jpg&response-content-type=image%2Fjpeg&Expires=1640736000&Signature=TsKKMHuatUpb8Yi5So8pWSiXlJp6UahXXYkDVYNBbsETi1JEVDngtnFscIT0--MjNho0eiWHpAYTyhp3XnJFOVceVPDIH5likwv8025ePJ2~4XCF4TpzhScU8UUUUWb1ALHR77GaXZ67GXtDZqRFS-xqLmuFzNPI9obcRcvdAAlah61mnviExz6FdQGWfGZTzRwPC30y4iGlTEnMpd6EUu2PdgXIefHCdcyzUMvQ9jYmH6GMYa5KhKWwV8W5DL592tDDPoLE8sg6UGSj7w-eyp0KNjaKlduTr7MAWHo68eK~plUxnwkWuBBP0H21OC2JZj-evKKew5~EPOuLLAcmPg__&Key-Pair-Id=APKAI33AGAEAYCXFBDTA,1.0,3.0,3.0,1.0,3.0,"American Blue Heeler, Mix",Male,4 Years,64.8lbs
Snow,"
                                                        Advanced Foster
                                                    ",Lincoln Park Adoption Center,/pet-available-for-fostering/showdog/snow-1,https://d3opzdukpbxlns.cloudfront.net/11c52399-becb-46a2-b6cf-c14666c3f432/a7e71f9ad2464c6492b2243afcfa40ab.thumbnail?response-content-disposition=inline%3B%20filename%2A%3DUTF-8%27%271634671654000.jpg&response-content-type=image%2Fjpeg&Expires=1640736000&Signature=WUpajZWTfTdNSMCXxG9p9q0PmqcdOsNERFqdiFghFlIYyqjH41Lt~crc3YNggYODhHbcoKIDDFPncSS4UcArDbob9qZRY66fmrirW4VJamiQAX0ttJ2NcVzRR6NhuRAxDxVhrXNYX-Brs~pQxzEmWFRvQQMpvjPidusgIMX9gH0p7VHAf2MSJKbO-bjM1bcg~gLGOR6L~XbMBLax4YarXpSQ7vllC4wd3cv1PXqZl2kTprrYkiNzjnJlCUWRrW4PXO81EthznHh8ElvLRNX2rM7eONVihtg~8qP98U8-TiSCRS-axNj4a-qnYCSuv5IwmPYld9j6g-sL~O5Ukwqgrg__&Key-Pair-Id=APKAI33AGAEAYCXFBDTA,1.0,4.0,0.0,4.0,4.0,"Terrier, American Pit Bull, Mix",Female,3 Years,45.6lbs
Molly,"
                                                        Core Foster
                                                    ",Medical Center,/pet-available-for-fostering/showdog/molly-1,https://d3opzdukpbxlns.cloudfront.net/11c52399-becb-46a2-b6cf-c14666c3f432/f30ae8df74f949ff94bcdc15f51d1af5.thumbnail?response-content-disposition=inline%3B%20filename%2A%3DUTF-8%27%271628794157000.jpg&response-content-type=image%2Fjpeg&Expires=1640736000&Signature=EzZ2E5odzYE5kZPYb1ZdZ3MNb0Th79TP3emI6NuaCd-T08C6jnrab5S8n-gvO8xGD~eg~0b~o6mmftI~yG9apOuPTMSw~57GcjIptKemFd7Nz1r4nn1GKJtsaxURDEbB4tKQSxskubQFPLEn4yjLRrxWfHe~9yXv7F-8m~W-KMOWNxB5c0MyTEeuplgU2KKya18y7eiqd-OfriqRDFvdNSJpbobiHRsCbn0ZWHkbynsuLJjmyZALEa1HzCSAJFvAWj9FxzQBR6Ji~5f6WFOZkjWw33~GhBFB5bgNS0L1M5xsWPb2QNBu3Icx7I55JT5ETsNe6TQh~SliVN7ANqUFpQ__&Key-Pair-Id=APKAI33AGAEAYCXFBDTA,0.0,0.0,0.0,0.0,0.0,Unknown,Female,4 Years,55.94lbs
Roxy,"
                                                        Advanced Foster
                                                    ",Lincoln Park Adoption Center,/pet-available-for-fostering/showdog/roxy,https://d3opzdukpbxlns.cloudfront.net/11c52399-becb-46a2-b6cf-c14666c3f432/59782959b1174c97beafe692acc2f251.thumbnail?response-content-disposition=inline%3B%20filename%2A%3DUTF-8%27%271634780238000.jpg&response-content-type=image%2Fjpeg&Expires=1640736000&Signature=XVIskkg8oK4e8JnWwoNBT2-~rsCPf3rVnhIuWr7wM-mE~idD-ypILOTDsC8-ti5CIG57pGfrqo8z5aNWZFB~YEHEJCHv3o3ow1LsvKUbnJqyq2j3tNxSGfnatwJqEgf3zbc3IkEdRybF~OsaRYm9l7lVm72VqluiO31V0LwHcFssbyeX1SLa4rd070O5sbp7-Y-YHtYosjDPtcQu1eZY-TKyrZILaQydNjVPkiRvtuNgvrPZRSVCM7RYo7j2QEIRtQsZfDIZDB1nFvC2z9Zj8KXvG2gXi3Mr1i6oHtp-Jpwum6vZ4aLR59AsanAcXe0CMlFekIYavuiKmbkSGaEt-w__&Key-Pair-Id=APKAI33AGAEAYCXFBDTA,1.0,3.0,0.0,3.0,4.0,"Terrier, American Pit Bull, Mix",Female,4 Years,58.8lbs
Tigger,"
                                                        Advanced Foster
                                                    ",Lincoln Park Adoption Center,/pet-available-for-fostering/showdog/tigger-1,https://d3opzdukpbxlns.cloudfront.net/11c52399-becb-46a2-b6cf-c14666c3f432/fadc9928071c4121973432494646c8a7.thumbnail?response-content-disposition=inline%3B%20filename%2A%3DUTF-8%27%271639263581000.jpg&response-content-type=image%2Fjpeg&Expires=1640736000&Signature=FVUk-BnNFlm3drM0barFQXON2FfT2SI-By19dUmparZ9yECYcUPRKLohYV-rVEGcQfcUQM98pc8LMXBplMLRbUs55lKoIuygJQDj5nV4oq3RM4QWDuV6xEtHE-msIwsqcbXp5l-QNLplJo9wwRSjzrz32fJwsgpMt4Ie3jbyCsF3ZQmncIC1LsHtVFSXpHqEIv2aiGbNPVycKJkotE8xgk54ZnwnPyTl784qsW0V0g6fI8dgAIa9ModbkY1t7PQYrVnITejeiE7oBmpWRDrZeUp1zR3g8ty~nrXowVn8vb5KrjD9MwoiwROylNebWu9Ti9cBIMsKsafOdszIMA35AA__&Key-Pair-Id=APKAI33AGAEAYCXFBDTA,1.0,3.0,1.0,3.0,4.0,Mixed Breed (Large),Male,4 Months,15.25lbs
